fecha,plataforma,seguidores,likes,comentarios
2024-07-09,TikTok,798,88,26
2025-02-15,YouTube,1300,113,7
2025-04-22,Facebook,1392,108,25
2025-05-24,X,828,133,11
2025-01-24,Facebook,847,98,26
2025-05-30,Instagram,979,112,14
2024-11-14,Instagram,928,145,21
2024-08-28,Instagram,1424,135,23
2025-02-01,TikTok,925,89,26
2025-04-21,YouTube,872,96,12
2024-06-16,Facebook,755,90,7
2024-07-08,YouTube,1428,144,10
2025-04-03,X,1277,99,14
2024-11-04,YouTube,1506,137,21
2024-08-02,Facebook,883,129,13
2025-03-30,YouTube,1338,123,10
2025-02-18,Facebook,1390,152,19
2025-04-12,Facebook,1345,123,8
2024-10-20,TikTok,1335,75,24
2025-04-03,X,1386,137,7
2024-08-30,Facebook,781,133,16
2025-02-24,TikTok,1521,93,15
2025-04-07,TikTok,949,102,12
2024-11-03,Facebook,1211,119,8
2024-06-28,X,959,94,25
2025-05-31,YouTube,970,110,10
2024-12-09,Facebook,951,114,17
2024-10-10,Facebook,1261,81,24
2024-08-16,Facebook,1229,141,25
2025-03-06,Instagram,973,106,15
2025-05-10,Instagram,909,107,16
2025-01-29,TikTok,981,115,21
2024-06-13,YouTube,1195,78,9
2025-02-18,Facebook,1022,134,11
2024-09-28,Facebook,1453,100,13
2024-07-11,TikTok,1298,145,21
2024-07-26,YouTube,1163,144,9
2025-05-19,TikTok,912,98,15
2025-06-05,YouTube,1006,106,17
2024-12-13,Facebook,1510,91,19
2025-04-28,TikTok,946,126,16
2025-04-20,X,980,127,25
2025-03-08,YouTube,1269,125,13
2025-05-28,Facebook,932,83,11
2024-09-13,YouTube,974,128,13
2025-02-03,TikTok,1245,95,10
2024-11-10,X,1291,97,19
2025-03-23,TikTok,1010,80,19
2025-03-18,YouTube,882,135,10
2025-01-12,TikTok,1217,124,25
2024-07-11,YouTube,837,125,9
2025-03-29,TikTok,931,82,17
2024-09-04,TikTok,1319,132,10
2024-12-09,YouTube,1405,83,25
2024-10-16,YouTube,1189,132,11
2025-05-09,TikTok,1254,77,22
2025-01-28,Instagram,1253,144,26
2024-10-25,X,936,102,7
2025-05-31,Instagram,922,84,14
2024-07-31,X,1088,141,25
2024-12-27,X,863,78,25
2025-03-05,X,825,125,7
2024-12-01,TikTok,1120,85,26
2024-07-01,X,829,109,24
2025-03-13,X,1357,108,8
2024-09-06,X,1096,118,21
2024-10-08,X,1232,93,8
2024-07-01,X,1461,104,20
2024-10-25,X,1112,89,21
2025-04-21,X,1328,127,10
2024-12-01,Instagram,1513,85,22
2024-12-29,Instagram,1163,116,12
2024-06-29,YouTube,1313,143,8
2024-11-01,Facebook,1135,108,20
2025-03-16,Instagram,840,83,13
2025-06-06,YouTube,1512,129,25
2025-01-08,TikTok,1209,87,19
2025-02-10,YouTube,1333,95,21
2024-07-14,YouTube,1017,107,15
2025-04-23,Instagram,870,76,21
2024-10-30,X,1356,151,24
2024-08-26,X,1305,106,9
2025-01-27,YouTube,1108,80,20
2024-10-01,YouTube,782,110,26
2025-03-02,Facebook,1367,141,19
2024-07-29,X,1044,79,21
2024-08-03,YouTube,1399,115,9
2025-04-05,Instagram,1056,91,19
2024-10-05,Instagram,926,126,24
2024-09-17,Facebook,893,101,14
2024-06-12,Facebook,1516,122,7
2025-05-28,YouTube,1315,112,26
2025-01-16,YouTube,1478,135,10
2024-08-27,Facebook,909,130,13
2024-12-27,Facebook,1368,108,19
2025-05-21,YouTube,769,97,12
2025-04-26,Instagram,1116,132,21
2025-02-22,Facebook,817,125,26
2024-07-13,X,1042,99,20
2025-02-24,TikTok,967,139,11
2024-12-18,TikTok,1309,109,14
2024-11-26,Instagram,1304,96,12
2024-08-09,Instagram,1408,128,15
2025-04-20,Instagram,988,152,22
2025-01-30,X,771,119,17
2024-07-26,Instagram,1329,77,25
2025-03-29,X,1024,96,8
