fecha,producto,region,ventas
2025-03-24,Auriculares,Este,$9984.02
2024-11-04,Smart TV,Este,$8723.07
2025-05-14,Auriculares,Oeste,$11326.45
2025-04-21,Smart TV,Centro,$7404.36
2025-05-18,Smartphone,Oeste,$9358.53
2025-04-19,Auriculares,Sur,$9533.77
2025-02-27,Consola de videojuegos,Centro,$8833.51
2025-03-01,Auriculares,Oeste,$8944.92
2025-01-12,Notebook,Oeste,$6673.75
2025-06-04,Smart TV,Centro,$10633.43
2024-09-05,Notebook,Este,$10954.60
2024-07-18,Smart TV,norte,$11016.61
2024-11-07,Consola de videojuegos,Oeste,$6771.65
2024-06-20,Auriculares,Este,$5008.40
2024-06-29,Notebook,Este,$9833.73
2024-06-27,Notebook,norte,$12011.62
2024-07-27,Smartphone,Centro,$9807.85
2024-11-07,Smartphone,norte,$12017.37
2024-07-15,Smart TV,Este,$4965.12
2025-01-16,Consola de videojuegos,Sur,$12007.12
2024-07-20,Smart TV,Este,$5612.12
2024-10-25,Auriculares,Este,$9401.95
2024-06-20,Auriculares,norte,$11143.89
2024-10-01,Auriculares,norte,$10106.71
2024-06-24,Smart TV,Oeste,$8379.67
2024-11-25,Smart TV,Oeste,$6656.42
2025-04-18,Smartphone,norte,$10754.92
2024-12-01,Smart TV,Sur,$8815.56
2025-01-01,Smartphone,norte,$11597.39
2024-06-27,Smart TV,Sur,$5751.92
2025-04-20,Notebook,Centro,$9557.34
2024-08-03,Auriculares,Centro,$7110.54
2024-11-16,Smartphone,Oeste,$11945.54
2025-01-29,Auriculares,Oeste,$10231.55
2024-07-04,Smart TV,Oeste,$7258.85
2024-07-20,Notebook,Oeste,$11734.47
2025-03-28,Smartphone,Oeste,$4839.67
2024-07-16,Auriculares,Este,$12422.67
2024-07-14,Smart TV,Este,$8010.96
2024-11-05,Consola de videojuegos,Oeste,$10138.76
2025-05-04,Notebook,Este,$8230.19
2024-09-04,Smartphone,Este,$11661.29
2024-11-16,Smart TV,Oeste,$9936.46
2024-12-18,Smartphone,norte,$11020.66
2024-12-04,Notebook,Sur,$12531.59
2025-01-08,Notebook,Sur,$4568.52
2025-02-04,Notebook,Oeste,$8579.91
2024-11-18,Smartphone,Centro,$12162.86
2024-11-21,Notebook,Sur,$5880.55
2025-02-28,Notebook,norte,$9225.34
2024-11-09,Smartphone,Oeste,$5847.02
2024-11-27,Smartphone,Centro,$9298.15
2025-01-28,Auriculares,norte,$6119.86
2024-11-15,Notebook,Oeste,$11519.23
2024-12-11,Smartphone,norte,$11221.13
2025-04-13,Smartphone,Este,$6421.19
2024-11-24,Smartphone,Sur,$5106.58
2024-11-14,Auriculares,Oeste,$10122.07
2025-06-05,Smartphone,Este,$10722.60
2024-09-09,Notebook,Oeste,$11461.92
2024-07-07,Notebook,Centro,$11681.71
2024-10-31,Smart TV,Oeste,$12263.05
2025-02-28,Smartphone,Oeste,$8761.23
2024-06-16,Smartphone,norte,$8474.63
2024-11-13,Auriculares,Centro,$5944.59
2025-05-10,Notebook,Este,$4639.14
2025-05-30,Notebook,norte,$11774.25
2025-01-03,Notebook,Centro,$10376.84
2025-05-10,Notebook,norte,$11838.50
2025-01-07,Auriculares,norte,$9913.51
2024-10-02,Notebook,Centro,$6956.49
2025-02-11,Smart TV,Centro,$6868.56
2025-03-19,Notebook,Sur,$9341.13
2025-02-13,Consola de videojuegos,Centro,$11349.89
2024-12-09,Auriculares,Sur,$6861.72
2025-05-24,Smartphone,Oeste,$6541.61
2025-05-31,Smartphone,norte,$10797.20
2024-08-30,Consola de videojuegos,Sur,$12299.74
2025-02-25,Consola de videojuegos,Centro,$9130.89
2024-10-31,Consola de videojuegos,norte,$9247.32
2024-12-26,Consola de videojuegos,Sur,$12450.87
