,id_venta,id_prod,id_producto,producto,rango,precio_unit,cantidad,fecha_venta,id_cat,categoria,precio_rango,dentro_camp,id_camp,canal,costo_mrkt
1476,410,100,103,Adorno de pared,R3,109.64,3,2024-06-21,1,Decoración,91-120,0,0,,
2426,620,100,103,Adorno de pared,R3,92.16,4,2024-10-21,1,Decoración,91-120,0,0,,
697,780,100,102,Adorno de pared,R2,79.13,7,2024-03-21,1,Decoración,66-91,0,0,,
255,50,100,102,Adorno de pared,R2,83.1,5,2024-01-31,1,Decoración,66-91,0,0,,
112,260,100,103,Adorno de pared,R3,101.48,9,2024-01-15,1,Decoración,91-120,0,0,,
1149,460,100,103,Adorno de pared,R3,93.62,6,2024-05-11,1,Decoración,91-120,0,0,,
2410,440,100,103,Adorno de pared,R3,113.49,2,2024-10-17,1,Decoración,91-120,0,0,,
691,950,100,103,Adorno de pared,R3,116.42,6,2024-03-20,1,Decoración,91-120,0,0,,
2772,640,100,103,Adorno de pared,R3,110.44,7,2024-12-02,1,Decoración,91-120,0,0,,
1126,1000,100,102,Adorno de pared,R2,74.64,11,2024-05-08,1,Decoración,66-91,0,0,,
862,600,100,101,Adorno de pared,R2,66,4,2024-04-10,1,Decoración,25-66,0,0,,
101,20,100,102,Adorno de pared,R2,90.21,2,2024-01-14,1,Decoración,66-91,0,0,,
1534,10,100,101,Adorno de pared,R1,44.65,10,2024-06-29,1,Decoración,25-66,0,0,,
2397,990,100,102,Adorno de pared,R2,76.72,3,2024-10-15,1,Decoración,66-91,0,0,,
276,380,100,101,Adorno de pared,R1,45.84,10,2024-02-02,1,Decoración,25-66,0,0,,
2395,520,100,102,Adorno de pared,R2,85.98,5,2024-10-15,1,Decoración,66-91,0,0,,
1107,550,100,103,Adorno de pared,R3,98.99,8,2024-05-06,1,Decoración,91-120,0,0,,
2816,130,100,102,Adorno de pared,R2,68.7,3,2024-12-08,1,Decoración,66-91,0,0,,
2351,60,100,101,Adorno de pared,R1,32.58,9,2024-10-10,1,Decoración,25-66,0,0,,
2340,670,100,101,Adorno de pared,R1,55.21,7,2024-10-08,1,Decoración,25-66,0,0,,
1577,360,100,102,Adorno de pared,R2,67.02,9,2024-07-04,1,Decoración,66-91,0,0,,
1098,650,100,101,Adorno de pared,R1,43.11,4,2024-05-05,1,Decoración,25-66,0,0,,
2291,590,100,101,Adorno de pared,R1,30.18,8,2024-10-01,1,Decoración,25-66,0,0,,
2278,500,100,103,Adorno de pared,R3,110.88,4,2024-09-30,1,Decoración,91-120,0,0,,
72,830,100,102,Adorno de pared,R2,67.23,10,2024-01-10,1,Decoración,66-91,0,0,,
323,770,100,103,Adorno de pared,R3,103.74,5,2024-02-07,1,Decoración,91-120,0,0,,
1623,790,100,102,Adorno de pared,R2,89.14,5,2024-07-10,1,Decoración,66-91,0,0,,
332,850,100,103,Adorno de pared,R3,112.03,9,2024-02-08,1,Decoración,91-120,0,0,,
2427,680,100,102,Adorno de pared,R2,76.66,3,2024-10-21,1,Decoración,66-91,0,0,,
1079,220,100,101,Adorno de pared,R1,55.36,9,2024-05-03,1,Decoración,25-66,0,0,,
1482,330,100,101,Adorno de pared,R1,60.02,6,2024-06-22,1,Decoración,25-66,0,0,,
2462,690,100,103,Adorno de pared,R3,103.95,8,2024-10-26,1,Decoración,91-120,0,0,,
2605,880,100,103,Adorno de pared,R3,105.74,10,2024-11-12,1,Decoración,91-120,0,0,,
2602,420,100,101,Adorno de pared,R1,65,4,2024-11-12,1,Decoración,25-66,0,0,,
799,570,100,101,Adorno de pared,R1,64.18,7,2024-04-03,1,Decoración,25-66,0,0,,
1309,110,100,101,Adorno de pared,R1,33.01,1,2024-05-29,1,Decoración,25-66,0,0,,
781,390,100,102,Adorno de pared,R2,87.52,8,2024-04-01,1,Decoración,66-91,0,0,,
2645,70,100,103,Adorno de pared,R3,105.42,12,2024-11-18,1,Decoración,91-120,0,0,,
1332,530,100,102,Adorno de pared,R2,82.65,5,2024-06-01,1,Decoración,66-91,0,0,,
1337,160,100,101,Adorno de pared,R1,33.27,12,2024-06-02,1,Decoración,25-66,0,0,,
151,30,100,102,Adorno de pared,R2,76.92,6,2024-01-19,1,Decoración,66-91,0,0,,
185,80,100,101,Adorno de pared,R1,51.56,5,2024-01-23,1,Decoración,25-66,0,0,,
1372,740,100,103,Adorno de pared,R3,103.19,9,2024-06-06,1,Decoración,91-120,0,0,,
811,340,100,101,Adorno de pared,R1,49.3,2,2024-04-04,1,Decoración,25-66,0,0,,
812,400,100,101,Adorno de pared,R1,33.1,1,2024-04-04,1,Decoración,25-66,0,0,,
1374,890,100,103,Adorno de pared,R3,91.85,6,2024-06-06,1,Decoración,91-120,0,0,,
752,730,100,103,Adorno de pared,R3,103.9,8,2024-03-28,1,Decoración,91-120,0,0,,
1390,910,100,101,Adorno de pared,R1,47.55,3,2024-06-08,1,Decoración,25-66,0,0,,
141,430,100,102,Adorno de pared,R2,81.76,5,2024-01-18,1,Decoración,66-91,0,0,,
2536,610,100,101,Adorno de pared,R1,27.89,8,2024-11-04,1,Decoración,25-66,0,0,,
1409,810,100,103,Adorno de pared,R3,105.57,7,2024-06-11,1,Decoración,91-120,0,0,,
825,300,100,102,Adorno de pared,R2,67.75,9,2024-04-06,1,Decoración,66-91,0,0,,
2502,190,100,101,Adorno de pared,R1,36.08,10,2024-10-30,1,Decoración,25-66,0,0,,
1212,920,100,101,Adorno de pared,R1,39.6,8,2024-05-18,1,Decoración,25-66,0,0,,
1428,350,100,102,Adorno de pared,R2,79.48,12,2024-06-13,1,Decoración,66-91,0,0,,
1435,90,100,103,Adorno de pared,R3,119.3,2,2024-06-14,1,Decoración,91-120,0,0,,
1191,660,100,102,Adorno de pared,R2,71.13,9,2024-05-16,1,Decoración,66-91,0,0,,
221,310,100,103,Adorno de pared,R3,103.79,2,2024-01-27,1,Decoración,91-120,0,0,,
