id_camp,prod_gener,canal,costo_prom,fecha_ini,fecha_fin
74,Adorno de pared,TV,4.81,2024-03-20,2024-05-03
44,Adorno de pared,Email,5.08,2024-04-13,2024-05-10
14,Adorno de pared,RRSS,4.16,2024-10-22,2024-12-21
28,Alfombra,RRSS,5.82,2024-11-27,2025-01-08
58,Alfombra,Email,4.25,2024-03-31,2024-05-05
88,Alfombra,TV,7.39,2024-07-25,2024-08-31
70,Aspiradora,TV,3.06,2024-12-13,2024-12-29
40,Aspiradora,Email,6.24,2024-06-24,2024-08-12
10,Aspiradora,RRSS,7.16,2024-08-19,2024-09-19
47,Auriculares,Email,4.19,2024-06-02,2024-07-22
17,Auriculares,RRSS,6.06,2024-07-15,2024-08-15
77,Auriculares,TV,4.99,2024-11-11,2024-12-06
27,Batidora,RRSS,4.52,2024-11-01,2024-12-08
87,Batidora,TV,6.28,2024-08-27,2024-10-11
57,Batidora,Email,4.48,2024-04-10,2024-06-08
49,Cafetera,Email,5.2,2024-06-20,2024-07-22
19,Cafetera,RRSS,5.7,2024-08-19,2024-09-15
79,Cafetera,TV,7.26,2024-08-13,2024-10-11
9,Candelabro,RRSS,5.32,2024-10-08,2024-11-16
69,Candelabro,TV,3.25,2024-05-29,2024-06-30
39,Candelabro,Email,6.08,2024-07-17,2024-08-18
50,Consola de videojuegos,Email,4.97,2024-05-03,2024-05-28
20,Consola de videojuegos,RRSS,3.16,2024-07-15,2024-08-03
80,Consola de videojuegos,TV,4.64,2024-11-01,2024-11-20
43,Cortinas,Email,5.67,2024-05-02,2024-06-17
13,Cortinas,RRSS,5.22,2024-09-16,2024-10-15
73,Cortinas,TV,6.47,2024-08-17,2024-09-26
61,Cuadro decorativo,TV,5.3,2024-11-05,2024-12-23
1,Cuadro decorativo,RRSS,5.27,2024-04-27,2024-06-04
31,Cuadro decorativo,Email,5.28,2024-08-15,2024-09-12
18,Cámara digital,RRSS,5.46,2024-07-16,2024-09-13
48,Cámara digital,Email,6.84,2024-10-31,2024-12-09
78,Cámara digital,TV,4.1,2024-08-02,2024-09-20
22,Elementos de cerámica,RRSS,5.44,2024-06-26,2024-07-15
52,Elementos de cerámica,Email,5.74,2024-09-09,2024-09-30
82,Elementos de cerámica,TV,5.69,2024-09-08,2024-10-12
53,Espejo decorativo,Email,4.9,2024-07-17,2024-08-01
23,Espejo decorativo,RRSS,4.75,2024-08-28,2024-10-17
83,Espejo decorativo,TV,5.24,2024-05-31,2024-07-08
11,Freidora eléctrica,RRSS,5.27,2024-12-29,2025-01-21
41,Freidora eléctrica,Email,3.92,2024-11-23,2025-01-01
71,Freidora eléctrica,TV,4.37,2024-06-05,2024-07-24
34,Heladera,Email,4.2,2024-05-06,2024-07-05
4,Heladera,RRSS,4.53,2024-05-31,2024-07-15
64,Heladera,TV,4.38,2024-07-10,2024-08-09
35,Horno eléctrico,Email,5.65,2024-07-31,2024-09-29
65,Horno eléctrico,TV,3.08,2024-10-23,2024-12-11
5,Horno eléctrico,RRSS,5.16,2024-08-22,2024-10-17
15,Jarrón decorativo,RRSS,4.65,2024-05-09,2024-06-13
45,Jarrón decorativo,Email,4.52,2024-06-05,2024-07-31
75,Jarrón decorativo,TV,4.1,2024-11-03,2024-12-25
