,id_camp,prod_gener,canal,costo_prom,fecha_ini,fecha_fin,id_producto,id_cat,media_prom
0,74,Adorno de pared,TV,4.81,2024-03-20,2024-05-03,100,1,4.683333333333334
1,44,Adorno de pared,Email,5.08,2024-04-13,2024-05-10,100,1,4.683333333333334
2,14,Adorno de pared,RRSS,4.16,2024-10-22,2024-12-21,100,1,4.683333333333334
3,28,Alfombra,RRSS,5.82,2024-11-27,2025-01-08,110,1,5.82
4,58,Alfombra,Email,4.25,2024-03-31,2024-05-05,110,1,5.82
5,88,Alfombra,TV,7.39,2024-07-25,2024-08-31,110,1,5.82
6,70,Aspiradora,TV,3.06,2024-12-13,2024-12-29,120,2,5.486666666666667
7,40,Aspiradora,Email,6.24,2024-06-24,2024-08-12,120,2,5.486666666666667
8,10,Aspiradora,RRSS,7.16,2024-08-19,2024-09-19,120,2,5.486666666666667
9,47,Auriculares,Email,4.19,2024-06-02,2024-07-22,130,3,5.08
10,17,Auriculares,RRSS,6.06,2024-07-15,2024-08-15,130,3,5.08
11,77,Auriculares,TV,4.99,2024-11-11,2024-12-06,130,3,5.08
12,27,Batidora,RRSS,4.52,2024-11-01,2024-12-08,140,2,5.093333333333334
13,87,Batidora,TV,6.28,2024-08-27,2024-10-11,140,2,5.093333333333334
14,57,Batidora,Email,4.48,2024-04-10,2024-06-08,140,2,5.093333333333334
15,49,Cafetera,Email,5.2,2024-06-20,2024-07-22,150,2,6.053333333333334
16,19,Cafetera,RRSS,5.7,2024-08-19,2024-09-15,150,2,6.053333333333334
17,79,Cafetera,TV,7.26,2024-08-13,2024-10-11,150,2,6.053333333333334
18,9,Candelabro,RRSS,5.32,2024-10-08,2024-11-16,160,1,4.883333333333334
19,69,Candelabro,TV,3.25,2024-05-29,2024-06-30,160,1,4.883333333333334
20,39,Candelabro,Email,6.08,2024-07-17,2024-08-18,160,1,4.883333333333334
21,50,Consola de videojuegos,Email,4.97,2024-05-03,2024-05-28,170,3,4.256666666666667
22,20,Consola de videojuegos,RRSS,3.16,2024-07-15,2024-08-03,170,3,4.256666666666667
23,80,Consola de videojuegos,TV,4.64,2024-11-01,2024-11-20,170,3,4.256666666666667
24,43,Cortinas,Email,5.67,2024-05-02,2024-06-17,180,1,5.786666666666666
25,13,Cortinas,RRSS,5.22,2024-09-16,2024-10-15,180,1,5.786666666666666
