,id_camp,prod_gener,canal,costo_prom,ord_prom,fecha_ini,fecha_fin,id_producto,id_cat,media_prom
0,14,Adorno de pared,RRSS,4.16,1,2024-10-22,2024-12-21,100,1,4.683333333333334
1,74,Adorno de pared,TV,4.81,2,2024-03-20,2024-05-03,100,1,4.683333333333334
2,44,Adorno de pared,Email,5.08,3,2024-04-13,2024-05-10,100,1,4.683333333333334
3,58,Alfombra,Email,4.25,1,2024-03-31,2024-05-05,110,1,5.82
4,28,Alfombra,RRSS,5.82,2,2024-11-27,2025-01-08,110,1,5.82
5,88,Alfombra,TV,7.39,3,2024-07-25,2024-08-31,110,1,5.82
6,70,Aspiradora,TV,3.06,1,2024-12-13,2024-12-29,120,2,5.486666666666667
7,40,Aspiradora,Email,6.24,2,2024-06-24,2024-08-12,120,2,5.486666666666667
8,10,Aspiradora,RRSS,7.16,3,2024-08-19,2024-09-19,120,2,5.486666666666667
9,47,Auriculares,Email,4.19,1,2024-06-02,2024-07-22,130,3,5.08
10,77,Auriculares,TV,4.99,2,2024-11-11,2024-12-06,130,3,5.08
11,17,Auriculares,RRSS,6.06,3,2024-07-15,2024-08-15,130,3,5.08
12,57,Batidora,Email,4.48,1,2024-04-10,2024-06-08,140,2,5.093333333333334
13,27,Batidora,RRSS,4.52,2,2024-11-01,2024-12-08,140,2,5.093333333333334
14,87,Batidora,TV,6.28,3,2024-08-27,2024-10-11,140,2,5.093333333333334
15,49,Cafetera,Email,5.2,1,2024-06-20,2024-07-22,150,2,6.053333333333334
16,19,Cafetera,RRSS,5.7,2,2024-08-19,2024-09-15,150,2,6.053333333333334
17,79,Cafetera,TV,7.26,3,2024-08-13,2024-10-11,150,2,6.053333333333334
18,69,Candelabro,TV,3.25,1,2024-05-29,2024-06-30,160,1,4.883333333333334
19,9,Candelabro,RRSS,5.32,2,2024-10-08,2024-11-16,160,1,4.883333333333334
20,39,Candelabro,Email,6.08,3,2024-07-17,2024-08-18,160,1,4.883333333333334
21,20,Consola de videojuegos,RRSS,3.16,1,2024-07-15,2024-08-03,170,3,4.256666666666667
22,80,Consola de videojuegos,TV,4.64,2,2024-11-01,2024-11-20,170,3,4.256666666666667
23,50,Consola de videojuegos,Email,4.97,3,2024-05-03,2024-05-28,170,3,4.256666666666667
24,13,Cortinas,RRSS,5.22,1,2024-09-16,2024-10-15,180,1,5.786666666666666
25,43,Cortinas,Email,5.67,2,2024-05-02,2024-06-17,180,1,5.786666666666666
26,73,Cortinas,TV,6.47,3,2024-08-17,2024-09-26,180,1,5.786666666666666
27,1,Cuadro decorativo,RRSS,5.27,1,2024-04-27,2024-06-04,190,1,5.283333333333333
28,31,Cuadro decorativo,Email,5.28,2,2024-08-15,2024-09-12,190,1,5.283333333333333
29,61,Cuadro decorativo,TV,5.3,3,2024-11-05,2024-12-23,190,1,5.283333333333333
30,78,Cámara digital,TV,4.1,1,2024-08-02,2024-09-20,200,3,5.466666666666666
31,18,Cámara digital,RRSS,5.46,2,2024-07-16,2024-09-13,200,3,5.466666666666666
32,48,Cámara digital,Email,6.84,3,2024-10-31,2024-12-09,200,3,5.466666666666666
33,22,Elementos de cerámica,RRSS,5.44,1,2024-06-26,2024-07-15,210,1,5.623333333333334
34,82,Elementos de cerámica,TV,5.69,2,2024-09-08,2024-10-12,210,1,5.623333333333334
35,52,Elementos de cerámica,Email,5.74,3,2024-09-09,2024-09-30,210,1,5.623333333333334
36,23,Espejo decorativo,RRSS,4.75,1,2024-08-28,2024-10-17,220,1,4.963333333333334
37,53,Espejo decorativo,Email,4.9,2,2024-07-17,2024-08-01,220,1,4.963333333333334
38,83,Espejo decorativo,TV,5.24,3,2024-05-31,2024-07-08,220,1,4.963333333333334
39,41,Freidora eléctrica,Email,3.92,1,2024-11-23,2025-01-01,230,2,4.52
40,71,Freidora eléctrica,TV,4.37,2,2024-06-05,2024-07-24,230,2,4.52
41,11,Freidora eléctrica,RRSS,5.27,3,2024-12-29,2025-01-21,230,2,4.52
42,34,Heladera,Email,4.2,1,2024-05-06,2024-07-05,240,2,4.37
43,64,Heladera,TV,4.38,2,2024-07-10,2024-08-09,240,2,4.37
44,4,Heladera,RRSS,4.53,3,2024-05-31,2024-07-15,240,2,4.37
45,65,Horno eléctrico,TV,3.08,1,2024-10-23,2024-12-11,250,2,4.63
46,5,Horno eléctrico,RRSS,5.16,2,2024-08-22,2024-10-17,250,2,4.63
47,35,Horno eléctrico,Email,5.65,3,2024-07-31,2024-09-29,250,2,4.63
48,75,Jarrón decorativo,TV,4.1,1,2024-11-03,2024-12-25,260,1,4.423333333333333
49,45,Jarrón decorativo,Email,4.52,2,2024-06-05,2024-07-31,260,1,4.423333333333333
50,15,Jarrón decorativo,RRSS,4.65,3,2024-05-09,2024-06-13,260,1,4.423333333333333
51,30,Laptop,RRSS,4.68,1,2024-10-23,2024-11-24,270,3,5.0633333333333335
52,60,Laptop,Email,4.89,2,2024-09-28,2024-10-27,270,3,5.0633333333333335
53,90,Laptop,TV,5.62,3,2024-11-16,2025-01-13,270,3,5.0633333333333335
54,16,Lavadora,RRSS,3.56,1,2024-08-14,2024-09-20,280,2,3.9499999999999997
55,46,Lavadora,Email,3.63,2,2024-05-12,2024-05-29,280,2,3.9499999999999997
56,76,Lavadora,TV,4.66,3,2024-05-26,2024-07-02,280,2,3.9499999999999997
57,62,Lámpara de mesa,TV,4.51,1,2024-08-26,2024-10-07,290,1,5.31
58,32,Lámpara de mesa,Email,5.54,2,2024-03-28,2024-04-20,290,1,5.31
59,2,Lámpara de mesa,RRSS,5.88,3,2024-05-30,2024-06-29,290,1,5.31
60,86,Microondas,TV,4.25,1,2024-09-25,2024-11-15,300,2,4.73
61,56,Microondas,Email,4.94,2,2024-08-06,2024-08-25,300,2,4.73
62,26,Microondas,RRSS,5.0,3,2024-09-25,2024-10-14,300,2,4.73
63,54,Parlantes Bluetooth,Email,2.95,1,2024-08-09,2024-09-22,310,3,4.456666666666667
64,84,Parlantes Bluetooth,TV,4.42,2,2024-04-17,2024-05-05,310,3,4.456666666666667
65,24,Parlantes Bluetooth,RRSS,6.0,3,2024-09-22,2024-10-26,310,3,4.456666666666667
66,6,Plancha de vapor,RRSS,4.02,1,2024-09-24,2024-11-02,320,2,4.706666666666667
67,66,Plancha de vapor,TV,4.69,2,2024-10-04,2024-10-23,320,2,4.706666666666667
68,36,Plancha de vapor,Email,5.41,3,2024-04-02,2024-06-01,320,2,4.706666666666667
69,37,Proyector,Email,3.22,1,2024-07-06,2024-07-26,330,3,4.156666666666667
70,67,Proyector,TV,3.68,2,2024-05-22,2024-07-12,330,3,4.156666666666667
71,7,Proyector,RRSS,5.57,3,2024-07-30,2024-08-16,330,3,4.156666666666667
