,id_venta,id_producto,producto,precio_unit,cantidad,fecha_venta,categoria,rango
0,792,0,Cuadro decorativo,69.94,5,2024-01-02,Decoración,
1,811,0,Lámpara de mesa,105.1,5,2024-01-02,Decoración,
2,1156,0,Secadora,97.96,3,2024-01-02,Electrodomésticos,
3,1372,0,Heladera,114.35,8,2024-01-02,Electrodomésticos,
4,1546,0,Secadora,106.21,4,2024-01-02,Electrodomésticos,
5,1697,0,Horno eléctrico,35.35,9,2024-01-02,Electrodomésticos,
6,1710,0,Plancha de vapor,65.43,2,2024-01-02,Electrodomésticos,
7,2959,0,Proyector,88.17,9,2024-01-02,Electrónica,
8,318,0,Rincón de plantas,79.86,11,2024-01-03,Decoración,
9,419,0,Candelabro,66.11,8,2024-01-03,Decoración,
10,1374,0,Aspiradora,95.9,5,2024-01-03,Electrodomésticos,
11,1571,0,Freidora eléctrica,111.18,1,2024-01-03,Electrodomésticos,
12,1814,0,Aspiradora,70.91,2,2024-01-03,Electrodomésticos,
13,2769,0,Proyector,43.62,11,2024-01-03,Electrónica,
14,2794,0,Tablet,67.97,9,2024-01-03,Electrónica,
15,2824,0,Tablet,74.09,5,2024-01-03,Electrónica,
16,446,0,Cortinas,62.1,4,2024-01-04,Decoración,
17,630,102,Adorno de pared-R2,71.99,9,2024-01-04,Decoración,R2
18,794,0,Jarrón decorativo,96.97,7,2024-01-04,Decoración,
19,882,0,Cuadro decorativo,101.92,9,2024-01-04,Decoración,
20,969,0,Candelabro,90.7,12,2024-01-04,Decoración,
21,1445,0,Lavadora,28.41,10,2024-01-04,Electrodomésticos,
22,1971,0,Freidora eléctrica,122.25,11,2024-01-04,Electrodomésticos,
23,2209,0,Proyector,32.15,1,2024-01-04,Electrónica,
24,256,0,Cortinas,86.82,8,2024-01-05,Decoración,
25,606,0,Cortinas,106.66,11,2024-01-05,Decoración,
26,704,0,Jarrón decorativo,57.22,9,2024-01-05,Decoración,
27,1362,0,Heladera,109.49,11,2024-01-05,Electrodomésticos,
28,2155,0,Auriculares,84.8,10,2024-01-05,Electrónica,
29,2947,0,Cámara digital,107.78,3,2024-01-05,Electrónica,
30,1495,0,Lavadora,38.99,6,2024-01-06,Electrodomésticos,
31,1572,0,Cafetera,61.4,9,2024-01-06,Electrodomésticos,
32,2180,0,Consola de videojuegos,102.57,9,2024-01-06,Electrónica,
33,2487,0,Cámara digital,50.76,3,2024-01-06,Electrónica,
34,2603,0,Smartphone,87.05,5,2024-01-06,Electrónica,
35,2885,0,Auriculares,100.4,6,2024-01-06,Electrónica,
36,17,0,Elementos de cerámica,108.48,11,2024-01-07,Decoración,
37,183,0,Espejo decorativo,82.76,8,2024-01-07,Decoración,
38,560,101,Adorno de pared-R1,57.62,6,2024-01-07,Decoración,R1
39,632,0,Cuadro decorativo,30.49,12,2024-01-07,Decoración,
40,699,0,Candelabro,34.23,12,2024-01-07,Decoración,
41,1150,0,Plancha de vapor,33.63,10,2024-01-07,Electrodomésticos,
42,1400,0,Plancha de vapor,26.91,5,2024-01-07,Electrodomésticos,
43,1496,0,Secadora,95.33,11,2024-01-07,Electrodomésticos,
44,1524,0,Aspiradora,65.55,8,2024-01-07,Electrodomésticos,
45,1550,0,Plancha de vapor,51.51,7,2024-01-07,Electrodomésticos,
46,2174,0,Auriculares,116.04,11,2024-01-07,Electrónica,
47,2773,0,Smartphone,107.51,5,2024-01-07,Electrónica,
48,2920,0,Consola de videojuegos,29.49,2,2024-01-07,Electrónica,
49,84,0,Jarrón decorativo,37.05,4,2024-01-08,Decoración,
50,349,0,Candelabro,57.65,6,2024-01-08,Decoración,
51,687,0,Elementos de cerámica,27.68,8,2024-01-08,Decoración,
52,696,0,Cortinas,32.57,8,2024-01-08,Decoración,
53,1734,0,Aspiradora,50.86,4,2024-01-08,Electrodomésticos,
54,2173,0,Smartphone,54.19,12,2024-01-08,Electrónica,
55,2283,0,Smartphone,70.07,11,2024-01-08,Electrónica,
56,2501,0,Parlantes Bluetooth,87.78,1,2024-01-08,Electrónica,
57,2918,0,SmartWatch,82.18,10,2024-01-08,Electrónica,
58,386,0,Cortinas,85.71,8,2024-01-09,Decoración,
59,599,0,Candelabro,47.22,5,2024-01-09,Decoración,
60,633,0,Espejo decorativo,60.39,2,2024-01-09,Decoración,
61,714,0,Jarrón decorativo,42.46,8,2024-01-09,Decoración,
62,871,0,Lámpara de mesa,79.64,11,2024-01-09,Decoración,
63,1132,0,Cafetera,29.88,10,2024-01-09,Electrodomésticos,
64,1443,0,Microondas,67.39,8,2024-01-09,Electrodomésticos,
65,1584,0,Aspiradora,99.58,7,2024-01-09,Electrodomésticos,
66,1617,0,Horno eléctrico,68.53,8,2024-01-09,Electrodomésticos,
67,1649,0,Batidora,39.26,11,2024-01-09,Electrodomésticos,
68,2917,0,Cámara digital,120.87,7,2024-01-09,Electrónica,
69,315,0,Alfombra,122.07,9,2024-01-10,Decoración,
70,553,0,Espejo decorativo,96.29,9,2024-01-10,Decoración,
71,817,0,Elementos de cerámica,106.31,1,2024-01-10,Decoración,
72,830,102,Adorno de pared-R2,67.23,10,2024-01-10,Decoración,R2
73,854,0,Jarrón decorativo,42.83,5,2024-01-10,Decoración,
74,1090,0,Plancha de vapor,66.15,8,2024-01-10,Electrodomésticos,
75,1464,0,Aspiradora,36.38,5,2024-01-10,Electrodomésticos,
76,1933,0,Microondas,46.05,6,2024-01-10,Electrodomésticos,
77,308,0,Rincón de plantas,31.7,11,2024-01-11,Decoración,
78,718,0,Rincón de plantas,29.88,8,2024-01-11,Decoración,
79,804,0,Jarrón decorativo,87.84,7,2024-01-11,Decoración,
80,963,0,Espejo decorativo,32.34,5,2024-01-11,Decoración,
81,1167,0,Horno eléctrico,119.7,6,2024-01-11,Electrodomésticos,
82,1234,0,Aspiradora,36.89,7,2024-01-11,Electrodomésticos,
83,1319,0,Batidora,79.98,12,2024-01-11,Electrodomésticos,
84,1885,0,Lavadora,120.75,10,2024-01-11,Electrodomésticos,
85,2268,0,SmartWatch,48.45,2,2024-01-11,Electrónica,
86,2325,0,Auriculares,117.43,11,2024-01-11,Electrónica,
87,2761,0,Parlantes Bluetooth,29.89,9,2024-01-11,Electrónica,
88,243,0,Espejo decorativo,55.61,1,2024-01-12,Decoración,
89,1441,0,Freidora eléctrica,52.57,11,2024-01-12,Electrodomésticos,
90,2428,0,SmartWatch,115.0,10,2024-01-12,Electrónica,
91,2583,0,Smartphone,67.93,10,2024-01-12,Electrónica,
92,2980,0,Consola de videojuegos,110.6,12,2024-01-12,Electrónica,
93,88,0,Rincón de plantas,109.33,9,2024-01-13,Decoración,
94,501,0,Lámpara de mesa,35.2,6,2024-01-13,Decoración,
95,507,0,Elementos de cerámica,111.1,1,2024-01-13,Decoración,
96,669,0,Lámpara de mesa,96.79,5,2024-01-13,Decoración,
97,987,0,Elementos de cerámica,102.62,3,2024-01-13,Decoración,
98,1548,0,Cafetera,35.73,12,2024-01-13,Electrodomésticos,
99,2822,0,Televisor,57.34,1,2024-01-13,Electrónica,
100,2924,0,Tablet,32.3,1,2024-01-13,Electrónica,
101,20,102,Adorno de pared-R2,90.21,2,2024-01-14,Decoración,R2
102,53,0,Espejo decorativo,115.45,7,2024-01-14,Decoración,
103,608,0,Rincón de plantas,64.67,10,2024-01-14,Decoración,
104,993,0,Espejo decorativo,98.26,1,2024-01-14,Decoración,
105,1065,0,Lavadora,43.98,6,2024-01-14,Electrodomésticos,
106,1599,0,Batidora,96.78,12,2024-01-14,Electrodomésticos,
107,1638,0,Cafetera,123.96,9,2024-01-14,Electrodomésticos,
108,1685,0,Lavadora,84.8,3,2024-01-14,Electrodomésticos,
109,2685,0,Auriculares,27.36,10,2024-01-14,Electrónica,
110,169,0,Lámpara de mesa,76.32,9,2024-01-15,Decoración,
111,236,0,Cortinas,118.69,9,2024-01-15,Decoración,
112,260,103,Adorno de pared-R3,101.48,9,2024-01-15,Decoración,R3
113,977,0,Elementos de cerámica,74.35,5,2024-01-15,Decoración,
114,1271,0,Freidora eléctrica,119.46,2,2024-01-15,Electrodomésticos,
115,2098,0,SmartWatch,75.65,5,2024-01-15,Electrónica,
116,2196,0,Laptop,31.69,1,2024-01-15,Electrónica,
117,2590,0,Consola de videojuegos,99.14,6,2024-01-15,Electrónica,
118,2788,0,SmartWatch,30.38,8,2024-01-15,Electrónica,
119,2803,0,Smartphone,95.73,5,2024-01-15,Electrónica,
120,2874,0,Tablet,117.47,2,2024-01-15,Electrónica,
121,113,0,Espejo decorativo,75.93,10,2024-01-16,Decoración,
122,503,0,Espejo decorativo,101.91,3,2024-01-16,Decoración,
123,832,0,Cuadro decorativo,30.59,1,2024-01-16,Decoración,
124,962,0,Cuadro decorativo,40.97,11,2024-01-16,Decoración,
125,1250,0,Plancha de vapor,98.55,6,2024-01-16,Electrodomésticos,
126,1431,0,Freidora eléctrica,83.95,8,2024-01-16,Electrodomésticos,
127,1920,0,Plancha de vapor,86.65,6,2024-01-16,Electrodomésticos,
128,2129,0,Proyector,107.98,6,2024-01-16,Electrónica,
129,2220,0,Consola de videojuegos,31.57,1,2024-01-16,Electrónica,
130,2477,0,Cámara digital,38.37,9,2024-01-16,Electrónica,
131,2789,0,Proyector,115.19,11,2024-01-16,Electrónica,
132,2935,0,Auriculares,80.29,2,2024-01-16,Electrónica,
133,131,0,Lámpara de mesa,58.32,10,2024-01-17,Decoración,
134,178,0,Rincón de plantas,81.5,1,2024-01-17,Decoración,
135,368,0,Rincón de plantas,87.4,9,2024-01-17,Decoración,
136,684,0,Jarrón decorativo,106.89,6,2024-01-17,Decoración,
137,1750,0,Plancha de vapor,94.53,2,2024-01-17,Electrodomésticos,
138,2284,0,Tablet,69.35,4,2024-01-17,Electrónica,
139,2402,0,Televisor,117.53,9,2024-01-17,Electrónica,
140,2698,0,SmartWatch,76.47,7,2024-01-17,Electrónica,
141,430,102,Adorno de pared-R2,81.76,5,2024-01-18,Decoración,R2
142,588,0,Rincón de plantas,80.17,3,2024-01-18,Decoración,
143,1626,0,Secadora,102.73,6,2024-01-18,Electrodomésticos,
144,1900,0,Plancha de vapor,45.14,1,2024-01-18,Electrodomésticos,
145,2119,0,Proyector,84.1,11,2024-01-18,Electrónica,
146,2244,0,Auriculares,63.67,5,2024-01-18,Electrónica,
147,2297,0,Cámara digital,119.43,5,2024-01-18,Electrónica,
148,2416,0,Laptop,81.74,10,2024-01-18,Electrónica,
149,2431,0,Parlantes Bluetooth,69.4,1,2024-01-18,Electrónica,
150,2792,0,Televisor,84.96,5,2024-01-18,Electrónica,
151,30,102,Adorno de pared-R2,76.92,6,2024-01-19,Decoración,R2
152,49,0,Lámpara de mesa,52.95,6,2024-01-19,Decoración,
153,104,0,Jarrón decorativo,103.13,8,2024-01-19,Decoración,
154,323,0,Espejo decorativo,123.21,7,2024-01-19,Decoración,
155,395,0,Alfombra,33.48,12,2024-01-19,Decoración,
156,851,0,Lámpara de mesa,85.23,6,2024-01-19,Decoración,
157,1125,0,Lavadora,97.73,12,2024-01-19,Electrodomésticos,
158,1332,0,Cafetera,98.21,11,2024-01-19,Electrodomésticos,
159,1806,0,Secadora,27.45,10,2024-01-19,Electrodomésticos,
160,2231,0,Parlantes Bluetooth,42.98,7,2024-01-19,Electrónica,
161,401,0,Lámpara de mesa,69.47,8,2024-01-20,Decoración,
162,788,0,Rincón de plantas,85.75,3,2024-01-20,Decoración,
163,1007,0,Horno eléctrico,98.42,8,2024-01-20,Electrodomésticos,
164,1489,0,Batidora,95.59,3,2024-01-20,Electrodomésticos,
165,2187,0,Cámara digital,108.61,2,2024-01-20,Electrónica,
166,2588,0,SmartWatch,83.01,11,2024-01-20,Electrónica,
167,2721,0,Parlantes Bluetooth,40.74,6,2024-01-20,Electrónica,
168,2897,0,Cámara digital,71.45,5,2024-01-20,Electrónica,
169,2987,0,Cámara digital,91.13,8,2024-01-20,Electrónica,
170,59,0,Lámpara de mesa,121.72,8,2024-01-21,Decoración,
171,754,0,Jarrón decorativo,91.53,12,2024-01-21,Decoración,
172,1117,0,Horno eléctrico,103.57,1,2024-01-21,Electrodomésticos,
173,1140,0,Plancha de vapor,27.61,7,2024-01-21,Electrodomésticos,
174,1145,0,Lavadora,67.2,11,2024-01-21,Electrodomésticos,
175,1286,0,Secadora,84.5,11,2024-01-21,Electrodomésticos,
176,1754,0,Aspiradora,104.86,8,2024-01-21,Electrodomésticos,
177,1882,0,Cafetera,51.16,12,2024-01-21,Electrodomésticos,
