,id_venta,id_producto,producto,precio_unit,cantidad,fecha_venta,categoria,rango,precio_rango
0,792,192,Cuadro decorativo,69.94,5,2024-01-02,Decoración,R2,0.0
1,811,0,Lámpara de mesa,105.1,5,2024-01-02,Decoración,,0.0
2,1156,0,Secadora,97.96,3,2024-01-02,Electrodomésticos,,0.0
3,1372,0,Heladera,114.35,8,2024-01-02,Electrodomésticos,,0.0
4,1546,0,Secadora,106.21,4,2024-01-02,Electrodomésticos,,0.0
5,1697,0,Horno eléctrico,35.35,9,2024-01-02,Electrodomésticos,,0.0
6,1710,0,Plancha de vapor,65.43,2,2024-01-02,Electrodomésticos,,0.0
7,2959,0,Proyector,88.17,9,2024-01-02,Electrónica,,0.0
8,318,0,Rincón de plantas,79.86,11,2024-01-03,Decoración,,0.0
9,419,0,Candelabro,66.11,8,2024-01-03,Decoración,,0.0
10,1374,123,Aspiradora,95.9,5,2024-01-03,Electrodomésticos,R3,0.0
11,1571,0,Freidora eléctrica,111.18,1,2024-01-03,Electrodomésticos,,0.0
12,1814,122,Aspiradora,70.91,2,2024-01-03,Electrodomésticos,R2,0.0
13,2769,0,Proyector,43.62,11,2024-01-03,Electrónica,,0.0
14,2794,0,Tablet,67.97,9,2024-01-03,Electrónica,,0.0
15,2824,0,Tablet,74.09,5,2024-01-03,Electrónica,,0.0
16,446,0,Cortinas,62.1,4,2024-01-04,Decoración,,0.0
17,630,102,Adorno de pared,71.99,9,2024-01-04,Decoración,R2,66-91
18,794,0,Jarrón decorativo,96.97,7,2024-01-04,Decoración,,0.0
19,882,193,Cuadro decorativo,101.92,9,2024-01-04,Decoración,R3,0.0
20,969,0,Candelabro,90.7,12,2024-01-04,Decoración,,0.0
21,1445,0,Lavadora,28.41,10,2024-01-04,Electrodomésticos,,0.0
22,1971,0,Freidora eléctrica,122.25,11,2024-01-04,Electrodomésticos,,0.0
23,2209,0,Proyector,32.15,1,2024-01-04,Electrónica,,0.0
24,256,0,Cortinas,86.82,8,2024-01-05,Decoración,,0.0
25,606,0,Cortinas,106.66,11,2024-01-05,Decoración,,0.0
26,704,0,Jarrón decorativo,57.22,9,2024-01-05,Decoración,,0.0
27,1362,0,Heladera,109.49,11,2024-01-05,Electrodomésticos,,0.0
28,2155,132,Auriculares,84.8,10,2024-01-05,Electrónica,R2,0.0
29,2947,0,Cámara digital,107.78,3,2024-01-05,Electrónica,,0.0
30,1495,0,Lavadora,38.99,6,2024-01-06,Electrodomésticos,,0.0
31,1572,152,Cafetera,61.4,9,2024-01-06,Electrodomésticos,R2,0.0
32,2180,0,Consola de videojuegos,102.57,9,2024-01-06,Electrónica,,0.0
33,2487,0,Cámara digital,50.76,3,2024-01-06,Electrónica,,0.0
34,2603,0,Smartphone,87.05,5,2024-01-06,Electrónica,,0.0
35,2885,133,Auriculares,100.4,6,2024-01-06,Electrónica,R3,0.0
36,17,0,Elementos de cerámica,108.48,11,2024-01-07,Decoración,,0.0
37,183,0,Espejo decorativo,82.76,8,2024-01-07,Decoración,,0.0
38,560,101,Adorno de pared,57.62,6,2024-01-07,Decoración,R1,25-66
39,632,191,Cuadro decorativo,30.49,12,2024-01-07,Decoración,R1,0.0
40,699,0,Candelabro,34.23,12,2024-01-07,Decoración,,0.0
41,1150,0,Plancha de vapor,33.63,10,2024-01-07,Electrodomésticos,,0.0
42,1400,0,Plancha de vapor,26.91,5,2024-01-07,Electrodomésticos,,0.0
43,1496,0,Secadora,95.33,11,2024-01-07,Electrodomésticos,,0.0
44,1524,122,Aspiradora,65.55,8,2024-01-07,Electrodomésticos,R2,0.0
45,1550,0,Plancha de vapor,51.51,7,2024-01-07,Electrodomésticos,,0.0
46,2174,133,Auriculares,116.04,11,2024-01-07,Electrónica,R3,0.0
47,2773,0,Smartphone,107.51,5,2024-01-07,Electrónica,,0.0
48,2920,0,Consola de videojuegos,29.49,2,2024-01-07,Electrónica,,0.0
49,84,0,Jarrón decorativo,37.05,4,2024-01-08,Decoración,,0.0
50,349,0,Candelabro,57.65,6,2024-01-08,Decoración,,0.0
51,687,0,Elementos de cerámica,27.68,8,2024-01-08,Decoración,,0.0
52,696,0,Cortinas,32.57,8,2024-01-08,Decoración,,0.0
53,1734,121,Aspiradora,50.86,4,2024-01-08,Electrodomésticos,R1,0.0
54,2173,0,Smartphone,54.19,12,2024-01-08,Electrónica,,0.0
55,2283,0,Smartphone,70.07,11,2024-01-08,Electrónica,,0.0
56,2501,0,Parlantes Bluetooth,87.78,1,2024-01-08,Electrónica,,0.0
57,2918,0,SmartWatch,82.18,10,2024-01-08,Electrónica,,0.0
58,386,0,Cortinas,85.71,8,2024-01-09,Decoración,,0.0
59,599,0,Candelabro,47.22,5,2024-01-09,Decoración,,0.0
60,633,0,Espejo decorativo,60.39,2,2024-01-09,Decoración,,0.0
61,714,0,Jarrón decorativo,42.46,8,2024-01-09,Decoración,,0.0
62,871,0,Lámpara de mesa,79.64,11,2024-01-09,Decoración,,0.0
63,1132,151,Cafetera,29.88,10,2024-01-09,Electrodomésticos,R1,0.0
64,1443,0,Microondas,67.39,8,2024-01-09,Electrodomésticos,,0.0
65,1584,123,Aspiradora,99.58,7,2024-01-09,Electrodomésticos,R3,0.0
66,1617,0,Horno eléctrico,68.53,8,2024-01-09,Electrodomésticos,,0.0
67,1649,141,Batidora,39.26,11,2024-01-09,Electrodomésticos,R1,0.0
68,2917,0,Cámara digital,120.87,7,2024-01-09,Electrónica,,0.0
69,315,113,Alfombra,122.07,9,2024-01-10,Decoración,R3,89-125
70,553,0,Espejo decorativo,96.29,9,2024-01-10,Decoración,,0.0
71,817,0,Elementos de cerámica,106.31,1,2024-01-10,Decoración,,0.0
72,830,102,Adorno de pared,67.23,10,2024-01-10,Decoración,R2,66-91
73,854,0,Jarrón decorativo,42.83,5,2024-01-10,Decoración,,0.0
74,1090,0,Plancha de vapor,66.15,8,2024-01-10,Electrodomésticos,,0.0
75,1464,121,Aspiradora,36.38,5,2024-01-10,Electrodomésticos,R1,0.0
76,1933,0,Microondas,46.05,6,2024-01-10,Electrodomésticos,,0.0
77,308,0,Rincón de plantas,31.7,11,2024-01-11,Decoración,,0.0
78,718,0,Rincón de plantas,29.88,8,2024-01-11,Decoración,,0.0
79,804,0,Jarrón decorativo,87.84,7,2024-01-11,Decoración,,0.0
80,963,0,Espejo decorativo,32.34,5,2024-01-11,Decoración,,0.0
81,1167,0,Horno eléctrico,119.7,6,2024-01-11,Electrodomésticos,,0.0
82,1234,121,Aspiradora,36.89,7,2024-01-11,Electrodomésticos,R1,0.0
83,1319,142,Batidora,79.98,12,2024-01-11,Electrodomésticos,R2,0.0
84,1885,0,Lavadora,120.75,10,2024-01-11,Electrodomésticos,,0.0
85,2268,0,SmartWatch,48.45,2,2024-01-11,Electrónica,,0.0
