,id_venta,id_producto,prod_gener,rango,precio_unit,cantidad,fecha_venta,id_cat,categoria,precio_rango
0,792,192,Cuadro decorativo,R2,69.94,5,2024-01-02,1,Decoración,61-86
1,811,293,Lámpara de mesa,R3,105.1,5,2024-01-02,1,Decoración,83-126
2,1156,353,Secadora,R3,97.96,3,2024-01-02,2,Electrodomésticos,93-125
3,1372,243,Heladera,R3,114.35,8,2024-01-02,2,Electrodomésticos,91-123
4,1546,353,Secadora,R3,106.21,4,2024-01-02,2,Electrodomésticos,93-125
5,1697,251,Horno eléctrico,R1,35.35,9,2024-01-02,2,Electrodomésticos,27-58
6,1710,322,Plancha de vapor,R2,65.43,2,2024-01-02,2,Electrodomésticos,55-88
7,2959,333,Proyector,R3,88.17,9,2024-01-02,3,Electrónica,86-125
8,318,342,Rincón de plantas,R2,79.86,11,2024-01-03,1,Decoración,63-86
9,419,162,Candelabro,R2,66.11,8,2024-01-03,1,Decoración,52-87
10,1374,123,Aspiradora,R3,95.9,5,2024-01-03,2,Electrodomésticos,93-125
11,1571,233,Freidora eléctrica,R3,111.18,1,2024-01-03,2,Electrodomésticos,90-125
12,1814,122,Aspiradora,R2,70.91,2,2024-01-03,2,Electrodomésticos,64-93
13,2769,331,Proyector,R1,43.62,11,2024-01-03,3,Electrónica,26-63
14,2794,382,Tablet,R2,67.97,9,2024-01-03,3,Electrónica,62-81
15,2824,382,Tablet,R2,74.09,5,2024-01-03,3,Electrónica,62-81
16,446,182,Cortinas,R2,62.1,4,2024-01-04,1,Decoración,57-91
17,630,102,Adorno de pared,R2,71.99,9,2024-01-04,1,Decoración,66-91
18,794,263,Jarrón decorativo,R3,96.97,7,2024-01-04,1,Decoración,92-126
19,882,193,Cuadro decorativo,R3,101.92,9,2024-01-04,1,Decoración,86-126
20,969,163,Candelabro,R3,90.7,12,2024-01-04,1,Decoración,87-126
21,1445,281,Lavadora,R1,28.41,10,2024-01-04,2,Electrodomésticos,26-55
22,1971,233,Freidora eléctrica,R3,122.25,11,2024-01-04,2,Electrodomésticos,90-125
23,2209,331,Proyector,R1,32.15,1,2024-01-04,3,Electrónica,26-63
24,256,182,Cortinas,R2,86.82,8,2024-01-05,1,Decoración,57-91
25,606,183,Cortinas,R3,106.66,11,2024-01-05,1,Decoración,91-126
26,704,262,Jarrón decorativo,R2,57.22,9,2024-01-05,1,Decoración,57-92
27,1362,243,Heladera,R3,109.49,11,2024-01-05,2,Electrodomésticos,91-123
28,2155,132,Auriculares,R2,84.8,10,2024-01-05,3,Electrónica,58-93
29,2947,203,Cámara digital,R3,107.78,3,2024-01-05,3,Electrónica,87-123
30,1495,281,Lavadora,R1,38.99,6,2024-01-06,2,Electrodomésticos,26-55
31,1572,152,Cafetera,R2,61.4,9,2024-01-06,2,Electrodomésticos,61-98
32,2180,173,Consola de videojuegos,R3,102.57,9,2024-01-06,3,Electrónica,90-126
33,2487,201,Cámara digital,R1,50.76,3,2024-01-06,3,Electrónica,25-56
34,2603,372,Smartphone,R2,87.05,5,2024-01-06,3,Electrónica,64-101
35,2885,133,Auriculares,R3,100.4,6,2024-01-06,3,Electrónica,93-125
36,17,213,Elementos de cerámica,R3,108.48,11,2024-01-07,1,Decoración,90-125
37,183,222,Espejo decorativo,R2,82.76,8,2024-01-07,1,Decoración,57-93
38,560,101,Adorno de pared,R1,57.62,6,2024-01-07,1,Decoración,25-66
39,632,191,Cuadro decorativo,R1,30.49,12,2024-01-07,1,Decoración,25-61
