,id_producto,producto,id_categoria,categoria,rango,media_rango,precio_rango
0,101,Adorno de pared-R1,1,Decoración,R1,44.39,25-66
1,102,Adorno de pared-R2,1,Decoración,R2,78.29,66-91
2,103,Adorno de pared-R3,1,Decoración,R3,105.74,91-120
3,111,Alfombra-R1,1,Decoración,R1,0.0,
4,112,Alfombra-R2,1,Decoración,R2,0.0,
5,113,Alfombra-R3,1,Decoración,R3,0.0,
6,121,Aspiradora-R1,2,Electrodomésticos,R1,0.0,
7,122,Aspiradora-R2,2,Electrodomésticos,R2,0.0,
8,123,Aspiradora-R3,2,Electrodomésticos,R3,0.0,
9,131,Auriculares-R1,3,Electrónica,R1,0.0,
10,132,Auriculares-R2,3,Electrónica,R2,0.0,
11,133,Auriculares-R3,3,Electrónica,R3,0.0,
12,141,Batidora-R1,2,Electrodomésticos,R1,0.0,
13,142,Batidora-R2,2,Electrodomésticos,R2,0.0,
14,143,Batidora-R3,2,Electrodomésticos,R3,0.0,
15,151,Cafetera-R1,2,Electrodomésticos,R1,0.0,
16,152,Cafetera-R2,2,Electrodomésticos,R2,0.0,
17,153,Cafetera-R3,2,Electrodomésticos,R3,0.0,
18,161,Candelabro-R1,1,Decoración,R1,0.0,
19,162,Candelabro-R2,1,Decoración,R2,0.0,
20,163,Candelabro-R3,1,Decoración,R3,0.0,
21,171,Consola de videojuegos-R1,3,Electrónica,R1,0.0,
22,172,Consola de videojuegos-R2,3,Electrónica,R2,0.0,
23,173,Consola de videojuegos-R3,3,Electrónica,R3,0.0,
24,181,Cortinas-R1,1,Decoración,R1,0.0,
25,182,Cortinas-R2,1,Decoración,R2,0.0,
26,183,Cortinas-R3,1,Decoración,R3,0.0,
27,191,Cuadro decorativo-R1,1,Decoración,R1,0.0,
28,192,Cuadro decorativo-R2,1,Decoración,R2,0.0,
29,193,Cuadro decorativo-R3,1,Decoración,R3,0.0,
30,201,Cámara digital-R1,3,Electrónica,R1,0.0,
31,202,Cámara digital-R2,3,Electrónica,R2,0.0,
32,203,Cámara digital-R3,3,Electrónica,R3,0.0,
33,211,Elementos de cerámica-R1,1,Decoración,R1,0.0,
34,212,Elementos de cerámica-R2,1,Decoración,R2,0.0,
35,213,Elementos de cerámica-R3,1,Decoración,R3,0.0,
36,221,Espejo decorativo-R1,1,Decoración,R1,0.0,
37,222,Espejo decorativo-R2,1,Decoración,R2,0.0,
38,223,Espejo decorativo-R3,1,Decoración,R3,0.0,
39,231,Freidora eléctrica-R1,2,Electrodomésticos,R1,0.0,
40,232,Freidora eléctrica-R2,2,Electrodomésticos,R2,0.0,
41,233,Freidora eléctrica-R3,2,Electrodomésticos,R3,0.0,
42,241,Heladera-R1,2,Electrodomésticos,R1,0.0,
43,242,Heladera-R2,2,Electrodomésticos,R2,0.0,
44,243,Heladera-R3,2,Electrodomésticos,R3,0.0,
45,251,Horno eléctrico-R1,2,Electrodomésticos,R1,0.0,
46,252,Horno eléctrico-R2,2,Electrodomésticos,R2,0.0,
47,253,Horno eléctrico-R3,2,Electrodomésticos,R3,0.0,
48,261,Jarrón decorativo-R1,1,Decoración,R1,0.0,
49,262,Jarrón decorativo-R2,1,Decoración,R2,0.0,
50,263,Jarrón decorativo-R3,1,Decoración,R3,0.0,
51,271,Laptop-R1,3,Electrónica,R1,0.0,
52,272,Laptop-R2,3,Electrónica,R2,0.0,
53,273,Laptop-R3,3,Electrónica,R3,0.0,
54,281,Lavadora-R1,2,Electrodomésticos,R1,0.0,
55,282,Lavadora-R2,2,Electrodomésticos,R2,0.0,
56,283,Lavadora-R3,2,Electrodomésticos,R3,0.0,
57,291,Lámpara de mesa-R1,1,Decoración,R1,0.0,
58,292,Lámpara de mesa-R2,1,Decoración,R2,0.0,
59,293,Lámpara de mesa-R3,1,Decoración,R3,0.0,
60,301,Microondas-R1,2,Electrodomésticos,R1,0.0,
61,302,Microondas-R2,2,Electrodomésticos,R2,0.0,
62,303,Microondas-R3,2,Electrodomésticos,R3,0.0,
63,311,Parlantes Bluetooth-R1,3,Electrónica,R1,0.0,
64,312,Parlantes Bluetooth-R2,3,Electrónica,R2,0.0,
65,313,Parlantes Bluetooth-R3,3,Electrónica,R3,0.0,
66,321,Plancha de vapor-R1,2,Electrodomésticos,R1,0.0,
67,322,Plancha de vapor-R2,2,Electrodomésticos,R2,0.0,
68,323,Plancha de vapor-R3,2,Electrodomésticos,R3,0.0,
69,331,Proyector-R1,3,Electrónica,R1,0.0,
70,332,Proyector-R2,3,Electrónica,R2,0.0,
71,333,Proyector-R3,3,Electrónica,R3,0.0,
72,341,Rincón de plantas-R1,1,Decoración,R1,0.0,
73,342,Rincón de plantas-R2,1,Decoración,R2,0.0,
74,343,Rincón de plantas-R3,1,Decoración,R3,0.0,
75,351,Secadora-R1,2,Electrodomésticos,R1,0.0,
76,352,Secadora-R2,2,Electrodomésticos,R2,0.0,
77,353,Secadora-R3,2,Electrodomésticos,R3,0.0,
78,361,SmartWatch-R1,3,Electrónica,R1,0.0,
79,362,SmartWatch-R2,3,Electrónica,R2,0.0,
80,363,SmartWatch-R3,3,Electrónica,R3,0.0,
81,371,Smartphone-R1,3,Electrónica,R1,0.0,
82,372,Smartphone-R2,3,Electrónica,R2,0.0,
83,373,Smartphone-R3,3,Electrónica,R3,0.0,
84,381,Tablet-R1,3,Electrónica,R1,0.0,
85,382,Tablet-R2,3,Electrónica,R2,0.0,
86,383,Tablet-R3,3,Electrónica,R3,0.0,
87,391,Televisor-R1,3,Electrónica,R1,0.0,
88,392,Televisor-R2,3,Electrónica,R2,0.0,
89,393,Televisor-R3,3,Electrónica,R3,0.0,
