,id_producto,producto,prod_gener,rango,id_cat,categoria,media_rango,precio_rango
0,101,Adorno de pared-R1,Adorno de pared,R1,1,Decoración,44.39,25-66
1,102,Adorno de pared-R2,Adorno de pared,R2,1,Decoración,78.29,66-91
2,103,Adorno de pared-R3,Adorno de pared,R3,1,Decoración,105.74,91-120
3,111,Alfombra-R1,Alfombra,R1,1,Decoración,41.55,28-54
4,112,Alfombra-R2,Alfombra,R2,1,Decoración,71.0,54-89
5,113,Alfombra-R3,Alfombra,R3,1,Decoración,109.1,89-125
6,121,Aspiradora-R1,Aspiradora,R1,2,Electrodomésticos,45.72,26-64
7,122,Aspiradora-R2,Aspiradora,R2,2,Electrodomésticos,79.6,64-93
8,123,Aspiradora-R3,Aspiradora,R3,2,Electrodomésticos,107.81,93-125
9,131,Auriculares-R1,Auriculares,R1,3,Electrónica,43.1,26-58
10,132,Auriculares-R2,Auriculares,R2,3,Electrónica,75.99,58-93
11,133,Auriculares-R3,Auriculares,R3,3,Electrónica,108.46,93-125
12,141,Batidora-R1,Batidora,R1,2,Electrodomésticos,46.35,27-65
13,142,Batidora-R2,Batidora,R2,2,Electrodomésticos,77.6,65-91
14,143,Batidora-R3,Batidora,R3,2,Electrodomésticos,107.75,91-126
15,151,Cafetera-R1,Cafetera,R1,2,Electrodomésticos,46.35,25-61
16,152,Cafetera-R2,Cafetera,R2,2,Electrodomésticos,77.6,61-98
17,153,Cafetera-R3,Cafetera,R3,2,Electrodomésticos,107.75,98-126
18,161,Candelabro-R1,Candelabro,R1,1,Decoración,42.69,29-52
19,162,Candelabro-R2,Candelabro,R2,1,Decoración,71.37,52-87
20,163,Candelabro-R3,Candelabro,R3,1,Decoración,109.73,87-126
21,171,Consola de videojuegos-R1,Consola de videojuegos,R1,3,Electrónica,42.32,29-55
22,172,Consola de videojuegos-R2,Consola de videojuegos,R2,3,Electrónica,76.41,55-90
23,173,Consola de videojuegos-R3,Consola de videojuegos,R3,3,Electrónica,108.32,90-126
24,181,Cortinas-R1,Cortinas,R1,1,Decoración,39.35,25-57
25,182,Cortinas-R2,Cortinas,R2,1,Decoración,74.58,57-91
26,183,Cortinas-R3,Cortinas,R3,1,Decoración,109.11,91-126
27,191,Cuadro decorativo-R1,Cuadro decorativo,R1,1,Decoración,40.8,25-61
28,192,Cuadro decorativo-R2,Cuadro decorativo,R2,1,Decoración,73.64,61-86
29,193,Cuadro decorativo-R3,Cuadro decorativo,R3,1,Decoración,107.29,86-126
30,201,Cámara digital-R1,Cámara digital,R1,3,Electrónica,41.19,25-56
31,202,Cámara digital-R2,Cámara digital,R2,3,Electrónica,67.85,56-87
32,203,Cámara digital-R3,Cámara digital,R3,3,Electrónica,106.74,87-123
33,211,Elementos de cerámica-R1,Elementos de cerámica,R1,1,Decoración,38.61,26-52
34,212,Elementos de cerámica-R2,Elementos de cerámica,R2,1,Decoración,66.49,52-90
35,213,Elementos de cerámica-R3,Elementos de cerámica,R3,1,Decoración,106.82,90-125
36,221,Espejo decorativo-R1,Espejo decorativo,R1,1,Decoración,41.02,25-57
37,222,Espejo decorativo-R2,Espejo decorativo,R2,1,Decoración,74.45,57-93
38,223,Espejo decorativo-R3,Espejo decorativo,R3,1,Decoración,110.47,93-125
39,231,Freidora eléctrica-R1,Freidora eléctrica,R1,2,Electrodomésticos,45.16,25-61
40,232,Freidora eléctrica-R2,Freidora eléctrica,R2,2,Electrodomésticos,80.19,61-90
41,233,Freidora eléctrica-R3,Freidora eléctrica,R3,2,Electrodomésticos,109.34,90-125
42,241,Heladera-R1,Heladera,R1,2,Electrodomésticos,38.84,27-57
43,242,Heladera-R2,Heladera,R2,2,Electrodomésticos,74.48,57-91
